SampleID,Rocktype,Source,Publication1,Publication2,Project,Dlat,Dlong,Sample_type,Core,Depth_m_from,Depth_m_to,Description_Other_notes,,SiO2_pct,TiO2_pct,Al2O3_pct,Fe2O3T_pct,MgO_pct,MnO_pct,CaO_pct,Na2O_pct,K2O_pct,P2O5_pct,SO3_pct,LOI_pct,Cl_pct,Total_calc,Total_LOI,Total_LOI_SO3,aSiO2_pct,aTiO2_pct,aAl2O3_pct,aFe2O3T_pct,aMgO_pct,aMnO_pct,aCaO_pct,aNa2O_pct,aK2O_pct,aP2O5_pct,aTotal,FeOT_pct,Mg,Na20_K2O,K2O_Na2O,ASI,Eu_Eu,Au_ppb,Pt_ppb,Pd_ppb,Re_ppm,Ag_ppm,F_ppm,Bi_ppm,Sn_ppm,Mo_ppm,Be_ppm,Cs_ppm,Ba_ppm,Rb_ppm,Sr_ppm,Pb_ppm,Th_ppm,U_ppm,Nb_ppm,Ta_ppm,Zr_ppm,Hf_ppm,Y_ppm,Ga_ppm,La_ppm,Ce_ppm,Pr_ppm,Nd_ppm,Sm_ppm,Eu_ppm,Gd_ppm,Tb_ppm,Dy_ppm,Ho_ppm,Er_ppm,Tm_ppm,Yb_ppm,Lu_ppm,Sc_ppm,Ni_ppm,V_ppm,Cd_ppm,Cr_ppm,Cu_ppm,Zn_ppm,Sb_ppm,As_ppm,Ge_ppm,Ti_ppm
2003967000,Basalt,External,Geoscience Australia,AMIRA-P763,Kalgoorlie-Kambalda Strat,-30.853627,121.886341,unknown,,,,metabasalt,,49.94,0.86,14.47,12.68,7.63,0.17,11.01,1.43,0.13,0.07,,2.36,,98.39,100.75,100.75,50.76,0.87,14.71,12.89,7.75,0.17,11.19,1.45,0.13,0.07,100,11.41,54.4,1.56,0.090909,0.643012,0.9834,,,,,,272,,0.6,0.7,0.1,0.2,20,2.3,83.8,,0.3,,2.3,0.1,50,1.6,22.8,15.5,2.8,7.4,,6.82,2.12,0.799,2.91,0.54,3.47,0.72,2.39,,2.22,0.37,42,112,310,,345,49,73,0.3,,1.4,5155.7
2003969000,Basalt,External,Geoscience Australia,AMIRA-P763,Kalgoorlie-Kambalda Strat,-30.900367,121.857666,unknown,,,,fine basalt,,47.68,0.83,14.98,11.42,7.44,0.22,13.53,1.98,0.09,0.02,,2.51,,98.19,100.7,100.7,48.56,0.85,15.26,11.63,7.58,0.22,13.78,2.02,0.09,0.02,100,10.28,56.36,2.07,0.045455,0.536054,1.332136,,,,,,567,,,1,0.2,0.1,67,,121,0.8,,,0.1,,11,0.6,12.3,15.3,0.5,1.9,,2.93,1.25,0.701,2.05,0.44,2.41,0.51,1.62,,1.54,0.22,41,173,297,,394,47,79,1,0.6,1.3,4975.85
2003969000,Basalt,External,Geoscience Australia,AMIRA-P763,Kalgoorlie-Kambalda Strat,-30.851064,121.891517,unknown,,,,basalt,,48.76,1.19,13.86,13.77,6.59,0.2,9.97,1.21,0.14,0.1,,5.03,,95.79,100.82,100.82,50.9,1.24,14.47,14.38,6.88,0.21,10.41,1.26,0.15,0.1,100,12.39,48.68,1.35,0.115702,0.684032,0.887315,,,,,,697,,0.6,0.3,0.2,0.1,75,3.4,94,0.9,0.3,,3.2,0.2,73,2.3,25.9,17.5,3.4,9.6,,9.29,2.99,1.01,4.05,0.79,4.76,0.98,3.23,,3.03,0.47,38,98,354,,190,109,101,1,0.9,1.6,7134.05
2004969000,Basalt,External,Geoscience Australia,AMIRA-P763,Kalgoorlie-Kambalda Strat,-31.072675,121.9196,unknown,,,,locally carbonated basalt,,51.27,0.87,14.66,12.53,7.45,0.21,9.92,1.9,0.15,0.07,0.02,0.85,,99.03,99.88,99.9,51.77,0.88,14.8,12.65,7.52,0.21,10.02,1.92,0.15,0.07,100,11.27,54.1,2.05,0.078947,0.687706,1.205598,,,,,,539,,,0.1,0.2,0.1,40,4.2,139.7,4,0.6,0.3,1.7,,37.9,1.2,15.4,15,2.8,6.8,1.07,5.22,1.86,0.767,2.01,0.35,2.42,0.49,1.53,,1.57,0.22,42,73,315,,306,98,94,1.3,7.8,1.7,5215.65
2004967000,Basalt,External,Geoscience Australia,AMIRA-P763,Kalgoorlie-Kambalda Strat,-31.084287,121.943558,unknown,,,,high-Mg basalt,,52.69,0.52,10.47,10.62,13.73,0.19,7.59,1.29,0.53,0.05,0.02,2.98,,97.68,100.66,100.68,53.94,0.53,10.72,10.87,14.06,0.19,7.77,1.32,0.54,0.05,100,9.56,71.95,1.82,0.410853,0.634916,0.962626,,,,,,578,,1,0.7,0.6,0.1,224,16.3,75.4,4,2.1,0.3,2.3,,49.6,1.2,14.4,11.4,5.5,11,1.45,6.68,1.47,0.491,1.64,0.28,1.94,0.39,1.29,,1.24,0.18,31,199,208,,1282,32,74,3.4,3,1.8,3117.4
2004967000,Basalt,External,Geoscience Australia,AMIRA-P763,Kalgoorlie-Kambalda Strat,-31.126934,122.052511,unknown,,,,ultramafic rock,,52.51,0.6,12.43,11.09,10.23,0.18,8.53,2.41,0.08,0.07,0.08,2.45,,98.13,100.58,100.66,53.51,0.61,12.67,11.3,10.42,0.18,8.69,2.46,0.08,0.07,100,9.98,64.66,2.49,0.033195,0.63567,0.929599,,,,,,576,0.5,1.3,1.3,0.6,0.2,135,1,89.4,11,2.4,0.6,2.7,,64.3,1.5,17.4,13.2,8.4,15.3,1.96,8.46,1.94,0.616,2.09,0.35,2.63,0.5,1.63,,1.52,0.21,30,189,210,,835,75,73,3.9,2.6,2,3597
2004969000,Basalt,External,Geoscience Australia,AMIRA-P763,Kalgoorlie-Kambalda Strat,-31.098665,121.984659,unknown,,,,pyroxenite,,51.97,0.48,9.12,11.17,15.51,0.19,7.28,1.21,0.2,0.05,0.01,2.52,,97.18,99.7,99.71,53.48,0.49,9.38,11.49,15.96,0.2,7.49,1.25,0.21,0.05,100,10.05,73.37,1.41,0.165289,0.590744,0.875829,,,,,,536,,0.5,,0.5,0.2,88,7,36.3,4,2.2,0.4,1.9,,40.4,1.2,11.4,9,5.8,11.8,1.44,5.84,1.54,0.467,1.71,0.28,1.86,0.37,1.26,,1.23,0.18,30,296,198,,1654,56,77,1.2,6.3,1.7,2877.6
2004969000,Basalt,External,Geoscience Australia,AMIRA-P763,Kalgoorlie-Kambalda Strat,-31.102683,121.990855,unknown,,,,high-Mg basalt?,,52.45,0.57,11.58,11.15,11.22,0.18,8.83,1.19,0.23,0.06,0.05,2.29,,97.46,99.75,99.8,53.82,0.58,11.88,11.44,11.51,0.18,9.06,1.22,0.24,0.06,100,10.03,66.62,1.42,0.193277,0.634354,0.826668,,,,,,562,,0.7,,0.4,0.1,203,8.3,93.2,5,2.9,0.5,2.4,,50.2,1.5,14.4,11.5,7.7,15.9,1.96,8.03,2.22,0.58,1.99,0.34,2.3,0.46,1.49,,1.48,0.23,34,151,210,,970,53,79,1.7,7.7,1.6,3417.15
2004969000,Basalt,External,Geoscience Australia,AMIRA-P763,Kalgoorlie-Kambalda Strat,-31.108647,121.98968,unknown,,,,basalt,,49.72,0.5,9.82,11.36,16.38,0.16,6.65,2.27,0.06,0.06,0.01,2.65,,96.98,99.63,99.64,51.27,0.52,10.13,11.71,16.89,0.16,6.86,2.34,0.06,0.06,100,10.22,74.1,2.33,0.026432,0.618179,1.190757,,,,,,345,,1.4,,0.4,0.1,17,2,24.3,3,2.5,0.5,2.1,,41.2,1.2,12.9,9.4,5.2,11.1,1.41,6.03,1.75,0.684,1.72,0.3,1.96,0.4,1.35,,1.3,0.19,25,482,183,,2153,63,92,3.8,3,1.4,2997.5
2003967000,Basalt,External,Geoscience Australia,AMIRA-P763,Kalgoorlie-Kambalda Strat,-30.810727,121.819433,unknown,,,,metabasalt,,50.73,0.57,11.82,11.47,11.69,0.15,8.74,1.99,0.43,0.06,,3.07,,97.65,100.72,100.72,51.95,0.58,12.1,11.75,11.97,0.15,8.95,2.04,0.44,0.06,100,10.32,66.9,2.42,0.21608,0.602332,1.005641,,,,,,66,,1.1,2,0.3,0.9,169,14.5,100.4,3.2,2.1,0.5,2.6,0.2,50,1.6,15.7,12.9,7.2,13.9,,7.87,1.94,0.682,2.2,0.43,2.35,0.49,1.55,,1.51,0.26,30,251,201,,1080,15,141,0.2,,1.5,3417.15
